               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038461,            0.016314,            0.027641,             0.38023,             0.74544,             0.61903,             0.45284,            0.013194,           0.0050682,            0.012394,            0.070015,           0.0033316,           0.0033316
                   1,            0.026637,           0.0088629,            0.017464,             0.77496,             0.73656,              0.8011,             0.62815,            0.010985,           0.0039261,           0.0078368,            0.039883,            0.006533,            0.006533
                   2,            0.024635,            0.008085,             0.01369,             0.75457,             0.89368,             0.88061,             0.74376,           0.0088705,           0.0035102,           0.0058238,           0.0096193,           0.0096024,           0.0096024
                   3,            0.020847,           0.0076782,             0.01247,             0.90483,             0.89328,             0.93742,             0.79986,           0.0088255,           0.0035522,           0.0046026,            0.009406,            0.009406,            0.009406
                   4,            0.018166,           0.0071191,            0.011262,             0.82792,             0.89924,             0.94374,             0.82765,           0.0083504,           0.0034322,           0.0054344,            0.009406,            0.009406,            0.009406
                   5,            0.016412,           0.0067628,            0.010093,             0.88808,             0.92993,             0.94987,             0.83852,           0.0064772,           0.0032081,           0.0041133,            0.009208,            0.009208,            0.009208
                   6,            0.014678,             0.00641,           0.0093347,             0.94071,             0.89552,             0.95918,             0.86553,           0.0060787,           0.0029755,           0.0034438,             0.00901,             0.00901,             0.00901
                   7,             0.01373,           0.0061292,            0.008638,             0.92739,             0.92318,             0.96546,             0.88308,           0.0057973,           0.0028541,           0.0030996,            0.008812,            0.008812,            0.008812
                   8,            0.013487,           0.0060668,           0.0085669,             0.93044,             0.92232,             0.96732,             0.88301,           0.0052468,           0.0027791,           0.0032059,            0.008614,            0.008614,            0.008614
                   9,            0.012445,           0.0058049,           0.0081123,             0.93972,             0.91475,             0.96743,             0.89215,           0.0052563,           0.0026962,            0.002982,            0.008416,            0.008416,            0.008416
                  10,            0.012219,           0.0057157,           0.0074803,             0.91833,             0.91503,             0.96624,             0.88684,           0.0048066,           0.0027344,           0.0034518,            0.008218,            0.008218,            0.008218
                  11,            0.011789,           0.0056478,           0.0072749,             0.92975,             0.92945,             0.96865,             0.90228,           0.0046695,           0.0025518,           0.0029767,             0.00802,             0.00802,             0.00802
                  12,            0.011365,           0.0054488,            0.006714,             0.94981,             0.92789,             0.97541,             0.89332,           0.0048203,           0.0025877,           0.0027122,            0.007822,            0.007822,            0.007822
                  13,            0.011016,           0.0053635,           0.0068508,             0.95097,             0.92325,             0.97273,             0.90539,           0.0043634,           0.0025167,            0.002555,            0.007624,            0.007624,            0.007624
                  14,            0.010466,           0.0051922,           0.0063404,              0.9345,             0.93652,             0.97308,              0.9092,           0.0041407,           0.0024277,           0.0028272,            0.007426,            0.007426,            0.007426
                  15,            0.010442,           0.0052079,           0.0059719,             0.94062,             0.94396,             0.96916,             0.90449,           0.0042429,           0.0024272,           0.0023885,            0.007228,            0.007228,            0.007228
